Adobe After Effects 6.0 Keyframe Data

	Units Per Second	30
	Source Width	720
	Source Height	1280
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0001
	Frame	X pixels	Y pixels
	65	243.824	377.078
	66	239.037	377.682
	67	237.732	380.725
	68	237.516	383.92
	69	234.207	385.405
	70	232.022	388.845
	71	232.878	392.047
	72	231.761	392.256
	73	230.32	395.17
	74	227.261	396.49
	75	226.088	396.879
	76	227.112	399.929
	77	222.754	402.242
	78	226.516	403.987
	79	226.106	405.622
	80	228.481	408.454
	81	229.979	408.175
	82	233.216	411.899
	83	231.104	411.121
	84	231.196	410.524
	85	239.347	409.106
	86	240.498	407.392
	87	248.398	406.932
	88	249.634	405.282
	89	253.211	403.229
	90	254.544	402.775
	91	262.786	404.194
	92	268.864	404.675
	93	269.425	404.592
	94	272.358	404.026
	95	277.006	402.174
	96	279.85	400.74
	97	285.655	398.862
	98	289.083	398.359
	99	294.689	398.071
	100	301.074	397.452
	101	312.406	398.704
	102	319.881	400.028
	103	331.268	405.15
	104	340.653	408.402
	105	344.753	409.74
	106	353.486	412.46
	107	360.858	414.682
	108	366.081	415.707
	109	371.601	416.612
	110	374.012	418.593
	111	372.338	419.693
	112	374.39	421.269
	113	375.879	422.937
	114	378.068	424.01
	115	379.533	427.499
	116	384.049	429.417
	117	382.703	430.096
	118	388.808	432.293
	119	390.609	432.477
	120	396.809	432.883
	121	400.711	431.003
	122	416.559	431.952
	123	421.22	431.775
	124	429.938	432.824
	125	436.831	431.026
	126	438.586	430.985
	127	443.629	429.265
	128	448.658	426.289
	129	451.477	426.078
	130	450.652	426.202
	131	455.644	426.198
	132	447.507	426.65
	133	447.2	427.154
	134	444.151	428.693
	135	444.276	428.78
	136	443.816	429.928
	137	442.83	430.917
	138	442.848	431.356
	139	438.573	431.143
	140	435.073	431.159
	141	434.667	430.971
	142	432.814	430.654
	143	430.708	430.621
	144	430.518	430.8
	145	427.774	432.083
	146	426.657	432.626
	147	427.029	433.506
	148	427.558	434.241
	149	422.973	434.426
	150	421.349	432.873
	151	422.034	434.167
	152	421.305	434.98
	153	419.526	435.436
	154	416.41	436.54
	155	413.499	437.598
	156	413.022	437.536
	157	410.647	438.452
	158	407.892	439.935
	159	405.159	439.87
	160	402.117	440.409
	161	403.384	441.319
	162	403.95	441.89
	163	405.035	442.938
	164	406.226	444.058
	165	402.867	444.734
	166	404.134	445.348
	167	400.093	445.955
	168	401.689	446.83
	169	400.056	447.76
	170	398.491	448.092
	171	397.187	448.362
	172	395.852	448.359
	173	401.223	449.553
	174	401.583	449.17
	175	401.351	449.368
	176	400.503	449.525
	177	398.775	449.865
	178	395.721	450.641
	179	390.107	449.82
	180	389.529	450.114
	181	386.317	450.334
	182	383.825	450.259
	183	383.318	450.457
	184	381.1	450.46
	185	377.488	451.647
	186	380.048	452.596
	187	374.931	453.628
	188	374.209	455.478
	189	372.385	458.433
	190	366.303	459.753
	191	360.714	460.46
	192	358.1	459.57
	193	346.959	460.776
	194	356.242	460.876
	195	353.139	460.829
	196	347.424	461.108
	197	341.102	460.57
	198	347.531	461.24
	199	340.097	462.368
	200	349.807	464.114
	201	341.938	464.307
	202	349.764	463.093
	203	345.903	462.054
	204	344.664	457.968
	205	342.043	456.431
	206	344.965	459.108
	207	332.962	459.765
	208	338.108	459.732
	209	348.883	456.367
	210	350.182	457.759
	211	354.096	457.21
	212	353.471	453.896
	213	346.696	455.666
	214	338.238	453.012
	215	325.561	445.765
	216	321.492	446.185
	217	315.618	429.677
	218	310.617	432.542
	219	307.095	434.38
	220	299.241	434.359
	221	289.044	432.64
	222	289.876	447.147
	223	293.948	456.564
	224	294.949	462.683

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0002
	Frame	X pixels	Y pixels
	65	554.505	386.264
	66	553.3	387.92
	67	551.046	390.825
	68	548.837	393.655
	69	547.692	394.808
	70	544.263	398.556
	71	542.079	401.141
	72	540.244	402.749
	73	537.776	405.528
	74	534.893	407.566
	75	533.53	408.408
	76	530.909	410.63
	77	528.262	412.512
	78	526.665	413.792
	79	524.689	414.5
	80	525.828	418.218
	81	526.276	418.486
	82	526.474	420.842
	83	527.802	420.388
	84	529.126	419.966
	85	531.082	417.936
	86	534.236	415.894
	87	535.732	413.958
	88	538.984	412.821
	89	541.318	411.629
	90	543.171	411.048
	91	544.987	409.853
	92	546.971	410.434
	93	547.958	410.449
	94	550.425	410.382
	95	553.908	409.073
	96	555.005	408.647
	97	559.044	407.687
	98	563.387	406.343
	99	566.728	405.112
	100	574.726	403.36
	101	586.8	403.375
	102	592.711	404.285
